"nom_station"	"code_station"	"polluant"	"niveau"	"date"
"Victor Hugo"	140	"PM2.5"	26	"2018-10-31T23:00:00"
"Victor Hugo"	140	"PM2.5"	27	"2018-10-31T23:15:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-10-31T23:30:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-10-31T23:45:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-01T00:00:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-01T00:15:00"
"Victor Hugo"	140	"PM2.5"	36	"2018-11-01T00:30:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-01T00:45:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-01T01:00:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-01T01:15:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-01T01:30:00"
"Victor Hugo"	140	"PM2.5"	29	"2018-11-01T01:45:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-01T02:00:00"
"Victor Hugo"	140	"PM2.5"	27	"2018-11-01T02:15:00"
"Victor Hugo"	140	"PM2.5"	26	"2018-11-01T02:30:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-01T02:45:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-01T03:00:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-01T03:15:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-01T03:30:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-01T03:45:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-01T04:00:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-01T04:15:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-01T04:30:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-01T04:45:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-01T05:00:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-01T05:15:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-01T05:30:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-01T05:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-01T06:00:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-01T06:15:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-01T06:30:00"
"Victor Hugo"	140	"PM2.5"	9	"2018-11-01T06:45:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-01T07:00:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T07:15:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T07:30:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T07:45:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T08:00:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T08:15:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T08:30:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T08:45:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-01T09:00:00"
